"Destination","Origin","M_Size","Date","DataDate","OrigFood","OrigFuel","OrigWage","DestFood","DestFuel","DestWage","NumMonths","OriginConflict","DestConflict","OriginConflict3","DestConflict3","OriginLon","OriginLat","DestLon","DestLat","dist"
"Daraa","Raqqa",10,Aug 2016,May 2016,525,2175,1750,331.25,1135,900,7,-0.492127252825719,-0.425012181511892,-0.290782038884238,-0.374675878026522,38.99811,35.95941,36.10331,32.62643,456602.810307438
"Deir Ezzor","Raqqa",144,Aug 2016,May 2016,525,2175,1750,800,4050,1150,7,-0.492127252825719,-0.290782038884238,-0.290782038884238,-0.374675878026522,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Deir Ezzor","Damascus",11,Aug 2016,May 2016,355,1120,1500,800,4050,1150,7,-0.240445735398867,-0.290782038884238,0.464262513396318,-0.374675878026522,36.27653,33.51381,40.13503,35.32965,407871.512206207
"Rural Damascus","Damascus",29,Aug 2016,May 2016,355,1120,1500,450,2500,1500,7,-0.240445735398867,-0.223666967570411,0.464262513396318,-0.357897110198065,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",8,Aug 2016,May 2016,331.25,1135,900,351.5,1137.5,1200,7,-0.425012181511892,-0.525684788482633,-0.374675878026522,-0.59279985979646,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Daraa","Rural Damascus",62,Aug 2016,May 2016,450,2500,1500,331.25,1135,900,7,-0.223666967570411,-0.425012181511892,-0.357897110198065,-0.374675878026522,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Al_Qunaytirah","Rural Damascus",28,Aug 2016,May 2016,450,2500,1500,351.5,1137.5,1200,7,-0.223666967570411,-0.525684788482633,-0.357897110198065,-0.59279985979646,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Hassakeh","Raqqa",300,Sep 2016,Jun 2016,600,2200,1750,650,2630,850,8,-0.508906020654176,-0.542463556311089,0.246138531626379,-0.525684788482633,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Deir Ezzor","Hassakeh",76,Oct 2016,Jul 2016,680,2380,900,850,4150,1050,9,-0.307560806712694,-0.525684788482633,-0.475348484997262,-0.475348484997262,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",55,Oct 2016,Jul 2016,525,875,1750,680,2380,900,9,-0.492127252825719,-0.307560806712694,-0.576021091968003,-0.475348484997262,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Daraa","Raqqa",4,Oct 2016,Jul 2016,525,875,1750,400,2750,925,9,-0.492127252825719,-0.408233413683435,-0.576021091968003,-0.223666967570411,38.99811,35.95941,36.10331,32.62643,456602.810307438
"Deir Ezzor","Raqqa",74,Oct 2016,Jul 2016,525,875,1750,850,4150,1050,9,-0.492127252825719,-0.525684788482633,-0.576021091968003,-0.475348484997262,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Al_Qunaytirah","Daraa",36,Oct 2016,Jul 2016,400,2750,925,431.5,1519,1200,9,-0.408233413683435,-0.59279985979646,-0.223666967570411,-0.274003271055781,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",4805,Oct 2016,Jul 2016,850,4150,1050,680,2380,900,9,-0.525684788482633,-0.307560806712694,-0.475348484997262,-0.475348484997262,40.13503,35.32965,40.74627,36.50787,142263.377621835
